100;117
2000;6614
5000;20666
7000;30181
10000;46716
15000;75042
20000;104133
40000;231719
50000;300768
100000;654344
100000;654048
110000;733962
120000;811532
130000;878821
140000;955855
150000;1034366
160000;1104976
170000;1190085
180000;1273852
190000;1350561
200000;1432205
210000;1498827
220000;1583515
230000;1666194
240000;1756914
250000;1831452
260000;1918740
270000;1985997
280000;2077077
290000;2161237
300000;2238911
310000;2319492
320000;2419059
330000;2489395
340000;2586730
350000;2647855
360000;2732875
370000;2825004
380000;2917453
390000;2997101
400000;3083487
410000;3195630
420000;3257422
430000;3344479
440000;3439918
450000;3532837
460000;3589190
470000;3686169
480000;3765037
490000;3858514
500000;3946391
510000;4037897
520000;4122161
530000;4228495
540000;4326713
550000;4389463
560000;4480616
570000;4579805
580000;4675682
590000;4754448
600000;4810514
610000;4914932
620000;4995482
630000;5091385
640000;5176542
650000;5270217
660000;5370594
670000;5469009
680000;5532683
690000;5666419
700000;5752572
710000;5822299
720000;5914156
730000;6004231
740000;6101155
750000;6211559
760000;6291661
770000;6339593
780000;6424884
790000;6501335
800000;6631096
810000;6703338
820000;6807581
830000;6888255
840000;6982588
850000;7082295
860000;7182157
870000;7286746
880000;7371426
890000;7486355
900000;7593225
910000;7677023
920000;7736345
930000;7840857
940000;7932305
950000;8017616
960000;8124527
970000;8236931
980000;8316173
990000;8419067
